code,description
S92109S,"unspecified fracture of unspecified talus, sequela"
S92111A,"displaced fracture of neck of right talus, initial encounter for closed fracture"
S92111B,"displaced fracture of neck of right talus, initial encounter for open fracture"
S92111S,"displaced fracture of neck of right talus, sequela"
S92112A,"displaced fracture of neck of left talus, initial encounter for closed fracture"
S92112B,"displaced fracture of neck of left talus, initial encounter for open fracture"
S92112S,"displaced fracture of neck of left talus, sequela"
S92113A,"displaced fracture of neck of unspecified talus, initial encounter for closed fracture"
S92113B,"displaced fracture of neck of unspecified talus, initial encounter for open fracture"
S92113S,"displaced fracture of neck of unspecified talus, sequela"
S92114A,"nondisplaced fracture of neck of right talus, initial encounter for closed fracture"
S92114B,"nondisplaced fracture of neck of right talus, initial encounter for open fracture"
S92114S,"nondisplaced fracture of neck of right talus, sequela"
S92115A,"nondisplaced fracture of neck of left talus, initial encounter for closed fracture"
S92115B,"nondisplaced fracture of neck of left talus, initial encounter for open fracture"
S92115S,"nondisplaced fracture of neck of left talus, sequela"
S92116A,"nondisplaced fracture of neck of unspecified talus, initial encounter for closed fracture"
S92116B,"nondisplaced fracture of neck of unspecified talus, initial encounter for open fracture"
S92116S,"nondisplaced fracture of neck of unspecified talus, sequela"
S92123A,"displaced fracture of body of unspecified talus, initial encounter for closed fracture"
S92123B,"displaced fracture of body of unspecified talus, initial encounter for open fracture"
S92123S,"displaced fracture of body of unspecified talus, sequela"
S92126A,"nondisplaced fracture of body of unspecified talus, initial encounter for closed fracture"
S92126B,"nondisplaced fracture of body of unspecified talus, initial encounter for open fracture"
S92126S,"nondisplaced fracture of body of unspecified talus, sequela"
S92133A,"displaced fracture of posterior process of unspecified talus, initial encounter for closed fracture"
S92133B,"displaced fracture of posterior process of unspecified talus, initial encounter for open fracture"
S92133S,"displaced fracture of posterior process of unspecified talus, sequela"
S92136A,"nondisplaced fracture of posterior process of unspecified talus, initial encounter for closed fracture"
S92136B,"nondisplaced fracture of posterior process of unspecified talus, initial encounter for open fracture"
S92136S,"nondisplaced fracture of posterior process of unspecified talus, sequela"
S92143A,"displaced dome fracture of unspecified talus, initial encounter for closed fracture"
S92143B,"displaced dome fracture of unspecified talus, initial encounter for open fracture"
S92143S,"displaced dome fracture of unspecified talus, sequela"
S92146A,"nondisplaced dome fracture of unspecified talus, initial encounter for closed fracture"
S92146B,"nondisplaced dome fracture of unspecified talus, initial encounter for open fracture"
S92146S,"nondisplaced dome fracture of unspecified talus, sequela"
S92153A,"displaced avulsion fracture (chip fracture) of unspecified talus, initial encounter for closed fracture"
S92153B,"displaced avulsion fracture (chip fracture) of unspecified talus, initial encounter for open fracture"
S92153S,"displaced avulsion fracture (chip fracture) of unspecified talus, sequela"
S92156A,"nondisplaced avulsion fracture (chip fracture) of unspecified talus, initial encounter for closed fracture"
S92156B,"nondisplaced avulsion fracture (chip fracture) of unspecified talus, initial encounter for open fracture"
S92156S,"nondisplaced avulsion fracture (chip fracture) of unspecified talus, sequela"
S92199A,"other fracture of unspecified talus, initial encounter for closed fracture"
S92199B,"other fracture of unspecified talus, initial encounter for open fracture"
S92199S,"other fracture of unspecified talus, sequela"
S92201A,"fracture of unspecified tarsal bone(s) of right foot, initial encounter for closed fracture"
S92201B,"fracture of unspecified tarsal bone(s) of right foot, initial encounter for open fracture"
S92201S,"fracture of unspecified tarsal bone(s) of right foot, sequela"
S92202A,"fracture of unspecified tarsal bone(s) of left foot, initial encounter for closed fracture"
S92202B,"fracture of unspecified tarsal bone(s) of left foot, initial encounter for open fracture"
S92202S,"fracture of unspecified tarsal bone(s) of left foot, sequela"
S92209A,"fracture of unspecified tarsal bone(s) of unspecified foot, initial encounter for closed fracture"
S92209B,"fracture of unspecified tarsal bone(s) of unspecified foot, initial encounter for open fracture"
S92209S,"fracture of unspecified tarsal bone(s) of unspecified foot, sequela"
S92213A,"displaced fracture of cuboid bone of unspecified foot, initial encounter for closed fracture"
S92213B,"displaced fracture of cuboid bone of unspecified foot, initial encounter for open fracture"
S92213S,"displaced fracture of cuboid bone of unspecified foot, sequela"
S92216A,"nondisplaced fracture of cuboid bone of unspecified foot, initial encounter for closed fracture"
S92216B,"nondisplaced fracture of cuboid bone of unspecified foot, initial encounter for open fracture"
S92216S,"nondisplaced fracture of cuboid bone of unspecified foot, sequela"
S92223A,"displaced fracture of lateral cuneiform of unspecified foot, initial encounter for closed fracture"
S92223B,"displaced fracture of lateral cuneiform of unspecified foot, initial encounter for open fracture"
S92223S,"displaced fracture of lateral cuneiform of unspecified foot, sequela"
S92226A,"nondisplaced fracture of lateral cuneiform of unspecified foot, initial encounter for closed fracture"
S92226B,"nondisplaced fracture of lateral cuneiform of unspecified foot, initial encounter for open fracture"
S92226S,"nondisplaced fracture of lateral cuneiform of unspecified foot, sequela"
S92233A,"displaced fracture of intermediate cuneiform of unspecified foot, initial encounter for closed fracture"
S92233B,"displaced fracture of intermediate cuneiform of unspecified foot, initial encounter for open fracture"
S92233S,"displaced fracture of intermediate cuneiform of unspecified foot, sequela"
S92236A,"nondisplaced fracture of intermediate cuneiform of unspecified foot, initial encounter for closed fracture"
S92236B,"nondisplaced fracture of intermediate cuneiform of unspecified foot, initial encounter for open fracture"
S92236S,"nondisplaced fracture of intermediate cuneiform of unspecified foot, sequela"
S92243A,"displaced fracture of medial cuneiform of unspecified foot, initial encounter for closed fracture"
S92243B,"displaced fracture of medial cuneiform of unspecified foot, initial encounter for open fracture"
S92243S,"displaced fracture of medial cuneiform of unspecified foot, sequela"
S92246A,"nondisplaced fracture of medial cuneiform of unspecified foot, initial encounter for closed fracture"
S92246B,"nondisplaced fracture of medial cuneiform of unspecified foot, initial encounter for open fracture"
S92246S,"nondisplaced fracture of medial cuneiform of unspecified foot, sequela"
S92253A,"displaced fracture of navicular [scaphoid] of unspecified foot, initial encounter for closed fracture"
S92253B,"displaced fracture of navicular [scaphoid] of unspecified foot, initial encounter for open fracture"
S92253S,"displaced fracture of navicular [scaphoid] of unspecified foot, sequela"
S92256A,"nondisplaced fracture of navicular [scaphoid] of unspecified foot, initial encounter for closed fracture"
S92256B,"nondisplaced fracture of navicular [scaphoid] of unspecified foot, initial encounter for open fracture"
S92256S,"nondisplaced fracture of navicular [scaphoid] of unspecified foot, sequela"
S92301A,"fracture of unspecified metatarsal bone(s), right foot, initial encounter for closed fracture"
S92301B,"fracture of unspecified metatarsal bone(s), right foot, initial encounter for open fracture"
S92301S,"fracture of unspecified metatarsal bone(s), right foot, sequela"
S92302A,"fracture of unspecified metatarsal bone(s), left foot, initial encounter for closed fracture"
S92302B,"fracture of unspecified metatarsal bone(s), left foot, initial encounter for open fracture"
S92302S,"fracture of unspecified metatarsal bone(s), left foot, sequela"
S92309A,"fracture of unspecified metatarsal bone(s), unspecified foot, initial encounter for closed fracture"
S92309B,"fracture of unspecified metatarsal bone(s), unspecified foot, initial encounter for open fracture"
S92309S,"fracture of unspecified metatarsal bone(s), unspecified foot, sequela"
S92313A,"displaced fracture of first metatarsal bone, unspecified foot, initial encounter for closed fracture"
S92313B,"displaced fracture of first metatarsal bone, unspecified foot, initial encounter for open fracture"
S92313S,"displaced fracture of first metatarsal bone, unspecified foot, sequela"
S92316A,"nondisplaced fracture of first metatarsal bone, unspecified foot, initial encounter for closed fracture"
S92316B,"nondisplaced fracture of first metatarsal bone, unspecified foot, initial encounter for open fracture"
S92316S,"nondisplaced fracture of first metatarsal bone, unspecified foot, sequela"
S92323A,"displaced fracture of second metatarsal bone, unspecified foot, initial encounter for closed fracture"
S92323B,"displaced fracture of second metatarsal bone, unspecified foot, initial encounter for open fracture"
S92323S,"displaced fracture of second metatarsal bone, unspecified foot, sequela"
S92326A,"nondisplaced fracture of second metatarsal bone, unspecified foot, initial encounter for closed fracture"
S92326B,"nondisplaced fracture of second metatarsal bone, unspecified foot, initial encounter for open fracture"
S92326S,"nondisplaced fracture of second metatarsal bone, unspecified foot, sequela"
S92333A,"displaced fracture of third metatarsal bone, unspecified foot, initial encounter for closed fracture"
S92333B,"displaced fracture of third metatarsal bone, unspecified foot, initial encounter for open fracture"
S92333S,"displaced fracture of third metatarsal bone, unspecified foot, sequela"
S92336A,"nondisplaced fracture of third metatarsal bone, unspecified foot, initial encounter for closed fracture"
S92336B,"nondisplaced fracture of third metatarsal bone, unspecified foot, initial encounter for open fracture"
S92336S,"nondisplaced fracture of third metatarsal bone, unspecified foot, sequela"
S92343A,"displaced fracture of fourth metatarsal bone, unspecified foot, initial encounter for closed fracture"
S92343B,"displaced fracture of fourth metatarsal bone, unspecified foot, initial encounter for open fracture"
S92343S,"displaced fracture of fourth metatarsal bone, unspecified foot, sequela"
S92346A,"nondisplaced fracture of fourth metatarsal bone, unspecified foot, initial encounter for closed fracture"
S92346B,"nondisplaced fracture of fourth metatarsal bone, unspecified foot, initial encounter for open fracture"
S92346S,"nondisplaced fracture of fourth metatarsal bone, unspecified foot, sequela"
S92353A,"displaced fracture of fifth metatarsal bone, unspecified foot, initial encounter for closed fracture"
S92353B,"displaced fracture of fifth metatarsal bone, unspecified foot, initial encounter for open fracture"
S92353S,"displaced fracture of fifth metatarsal bone, unspecified foot, sequela"
S92356A,"nondisplaced fracture of fifth metatarsal bone, unspecified foot, initial encounter for closed fracture"
S92356B,"nondisplaced fracture of fifth metatarsal bone, unspecified foot, initial encounter for open fracture"
S92356S,"nondisplaced fracture of fifth metatarsal bone, unspecified foot, sequela"
S92401A,"displaced unspecified fracture of right great toe, initial encounter for closed fracture"
S92401B,"displaced unspecified fracture of right great toe, initial encounter for open fracture"
S92401S,"displaced unspecified fracture of right great toe, sequela"
S92402A,"displaced unspecified fracture of left great toe, initial encounter for closed fracture"
S92402B,"displaced unspecified fracture of left great toe, initial encounter for open fracture"
S92402S,"displaced unspecified fracture of left great toe, sequela"
S92403A,"displaced unspecified fracture of unspecified great toe, initial encounter for closed fracture"
S92403B,"displaced unspecified fracture of unspecified great toe, initial encounter for open fracture"
S92403S,"displaced unspecified fracture of unspecified great toe, sequela"
S92404A,"nondisplaced unspecified fracture of right great toe, initial encounter for closed fracture"
S92404B,"nondisplaced unspecified fracture of right great toe, initial encounter for open fracture"
S92404S,"nondisplaced unspecified fracture of right great toe, sequela"
S92405A,"nondisplaced unspecified fracture of left great toe, initial encounter for closed fracture"
S92405B,"nondisplaced unspecified fracture of left great toe, initial encounter for open fracture"
S92405S,"nondisplaced unspecified fracture of left great toe, sequela"
S92406A,"nondisplaced unspecified fracture of unspecified great toe, initial encounter for closed fracture"
S92406B,"nondisplaced unspecified fracture of unspecified great toe, initial encounter for open fracture"
S92406S,"nondisplaced unspecified fracture of unspecified great toe, sequela"
S92413A,"displaced fracture of proximal phalanx of unspecified great toe, initial encounter for closed fracture"
S92413B,"displaced fracture of proximal phalanx of unspecified great toe, initial encounter for open fracture"
S92413S,"displaced fracture of proximal phalanx of unspecified great toe, sequela"
S92416A,"nondisplaced fracture of proximal phalanx of unspecified great toe, initial encounter for closed fracture"
S92416B,"nondisplaced fracture of proximal phalanx of unspecified great toe, initial encounter for open fracture"
S92416S,"nondisplaced fracture of proximal phalanx of unspecified great toe, sequela"
S92423A,"displaced fracture of distal phalanx of unspecified great toe, initial encounter for closed fracture"
S92423B,"displaced fracture of distal phalanx of unspecified great toe, initial encounter for open fracture"
S92423S,"displaced fracture of distal phalanx of unspecified great toe, sequela"
S92426A,"nondisplaced fracture of distal phalanx of unspecified great toe, initial encounter for closed fracture"
S92426B,"nondisplaced fracture of distal phalanx of unspecified great toe, initial encounter for open fracture"
S92426S,"nondisplaced fracture of distal phalanx of unspecified great toe, sequela"
S92499A,"other fracture of unspecified great toe, initial encounter for closed fracture"
S92499B,"other fracture of unspecified great toe, initial encounter for open fracture"
S92499S,"other fracture of unspecified great toe, sequela"
S92501A,"displaced unspecified fracture of right lesser toe(s), initial encounter for closed fracture"
S92501B,"displaced unspecified fracture of right lesser toe(s), initial encounter for open fracture"
S92501S,"displaced unspecified fracture of right lesser toe(s), sequela"
S92502A,"displaced unspecified fracture of left lesser toe(s), initial encounter for closed fracture"
S92502B,"displaced unspecified fracture of left lesser toe(s), initial encounter for open fracture"
S92502S,"displaced unspecified fracture of left lesser toe(s), sequela"
S92503A,"displaced unspecified fracture of unspecified lesser toe(s), initial encounter for closed fracture"
S92503B,"displaced unspecified fracture of unspecified lesser toe(s), initial encounter for open fracture"
S92503S,"displaced unspecified fracture of unspecified lesser toe(s), sequela"
S92504A,"nondisplaced unspecified fracture of right lesser toe(s), initial encounter for closed fracture"
S92504B,"nondisplaced unspecified fracture of right lesser toe(s), initial encounter for open fracture"
S92504S,"nondisplaced unspecified fracture of right lesser toe(s), sequela"
S92505A,"nondisplaced unspecified fracture of left lesser toe(s), initial encounter for closed fracture"
S92505B,"nondisplaced unspecified fracture of left lesser toe(s), initial encounter for open fracture"
S92505S,"nondisplaced unspecified fracture of left lesser toe(s), sequela"
S92506A,"nondisplaced unspecified fracture of unspecified lesser toe(s), initial encounter for closed fracture"
S92506B,"nondisplaced unspecified fracture of unspecified lesser toe(s), initial encounter for open fracture"
S92506S,"nondisplaced unspecified fracture of unspecified lesser toe(s), sequela"
S92513A,"displaced fracture of proximal phalanx of unspecified lesser toe(s), initial encounter for closed fracture"
S92513B,"displaced fracture of proximal phalanx of unspecified lesser toe(s), initial encounter for open fracture"
S92513S,"displaced fracture of proximal phalanx of unspecified lesser toe(s), sequela"
S92516A,"nondisplaced fracture of proximal phalanx of unspecified lesser toe(s), initial encounter for closed fracture"
S92516B,"nondisplaced fracture of proximal phalanx of unspecified lesser toe(s), initial encounter for open fracture"
S92516S,"nondisplaced fracture of proximal phalanx of unspecified lesser toe(s), sequela"
S92523A,"displaced fracture of middle phalanx of unspecified lesser toe(s), initial encounter for closed fracture"
S92523B,"displaced fracture of middle phalanx of unspecified lesser toe(s), initial encounter for open fracture"
S92523S,"displaced fracture of middle phalanx of unspecified lesser toe(s), sequela"
S92526A,"nondisplaced fracture of middle phalanx of unspecified lesser toe(s), initial encounter for closed fracture"
S92526B,"nondisplaced fracture of middle phalanx of unspecified lesser toe(s), initial encounter for open fracture"
S92526S,"nondisplaced fracture of middle phalanx of unspecified lesser toe(s), sequela"
S92533A,"displaced fracture of distal phalanx of unspecified lesser toe(s), initial encounter for closed fracture"
S92533B,"displaced fracture of distal phalanx of unspecified lesser toe(s), initial encounter for open fracture"
S92533S,"displaced fracture of distal phalanx of unspecified lesser toe(s), sequela"
S92536A,"nondisplaced fracture of distal phalanx of unspecified lesser toe(s), initial encounter for closed fracture"
S92536B,"nondisplaced fracture of distal phalanx of unspecified lesser toe(s), initial encounter for open fracture"
S92536S,"nondisplaced fracture of distal phalanx of unspecified lesser toe(s), sequela"
S92599A,"other fracture of unspecified lesser toe(s), initial encounter for closed fracture"
S92599B,"other fracture of unspecified lesser toe(s), initial encounter for open fracture"
S92599S,"other fracture of unspecified lesser toe(s), sequela"
S92819A,"other fracture of unspecified foot, initial encounter for closed fracture"
S92819B,"other fracture of unspecified foot, initial encounter for open fracture"
S92819S,"other fracture of unspecified foot, sequela"
S92901A,"unspecified fracture of right foot, initial encounter for closed fracture"
S92901B,"unspecified fracture of right foot, initial encounter for open fracture"
S92901S,"unspecified fracture of right foot, sequela"
S92902A,"unspecified fracture of left foot, initial encounter for closed fracture"
S92902B,"unspecified fracture of left foot, initial encounter for open fracture"
S92902S,"unspecified fracture of left foot, sequela"
S92909A,"unspecified fracture of unspecified foot, initial encounter for closed fracture"
S92909B,"unspecified fracture of unspecified foot, initial encounter for open fracture"
S92909S,"unspecified fracture of unspecified foot, sequela"
S92911A,"unspecified fracture of right toe(s), initial encounter for closed fracture"
S92911B,"unspecified fracture of right toe(s), initial encounter for open fracture"
S92911S,"unspecified fracture of right toe(s), sequela"
S92912A,"unspecified fracture of left toe(s), initial encounter for closed fracture"
S92912B,"unspecified fracture of left toe(s), initial encounter for open fracture"
S92912S,"unspecified fracture of left toe(s), sequela"
S92919A,"unspecified fracture of unspecified toe(s), initial encounter for closed fracture"
S92919B,"unspecified fracture of unspecified toe(s), initial encounter for open fracture"
S92919S,"unspecified fracture of unspecified toe(s), sequela"
S9303XA,"subluxation of unspecified ankle joint, initial encounter"
S9303XD,"subluxation of unspecified ankle joint, subsequent encounter"
S9303XS,"subluxation of unspecified ankle joint, sequela"
S9306XA,"dislocation of unspecified ankle joint, initial encounter"
S9306XD,"dislocation of unspecified ankle joint, subsequent encounter"
S9306XS,"dislocation of unspecified ankle joint, sequela"
S93101A,"unspecified subluxation of right toe(s), initial encounter"
S93101D,"unspecified subluxation of right toe(s), subsequent encounter"
S93101S,"unspecified subluxation of right toe(s), sequela"
S93102A,"unspecified subluxation of left toe(s), initial encounter"
S93102D,"unspecified subluxation of left toe(s), subsequent encounter"
S93102S,"unspecified subluxation of left toe(s), sequela"
S93103A,"unspecified subluxation of unspecified toe(s), initial encounter"
S93103D,"unspecified subluxation of unspecified toe(s), subsequent encounter"
S93103S,"unspecified subluxation of unspecified toe(s), sequela"
S93104A,"unspecified dislocation of right toe(s), initial encounter"
S93104D,"unspecified dislocation of right toe(s), subsequent encounter"
S93104S,"unspecified dislocation of right toe(s), sequela"
S93105A,"unspecified dislocation of left toe(s), initial encounter"
S93105D,"unspecified dislocation of left toe(s), subsequent encounter"
S93105S,"unspecified dislocation of left toe(s), sequela"
S93106A,"unspecified dislocation of unspecified toe(s), initial encounter"
S93106D,"unspecified dislocation of unspecified toe(s), subsequent encounter"
S93106S,"unspecified dislocation of unspecified toe(s), sequela"
S93113A,"dislocation of interphalangeal joint of unspecified great toe, initial encounter"
S93113D,"dislocation of interphalangeal joint of unspecified great toe, subsequent encounter"
S93113S,"dislocation of interphalangeal joint of unspecified great toe, sequela"
S93116A,"dislocation of interphalangeal joint of unspecified lesser toe(s), initial encounter"
S93116D,"dislocation of interphalangeal joint of unspecified lesser toe(s), subsequent encounter"
S93116S,"dislocation of interphalangeal joint of unspecified lesser toe(s), sequela"
S93119A,"dislocation of interphalangeal joint of unspecified toe(s), initial encounter"
S93119D,"dislocation of interphalangeal joint of unspecified toe(s), subsequent encounter"
S93119S,"dislocation of interphalangeal joint of unspecified toe(s), sequela"
S93123A,"dislocation of metatarsophalangeal joint of unspecified great toe, initial encounter"
S93123D,"dislocation of metatarsophalangeal joint of unspecified great toe, subsequent encounter"
S93123S,"dislocation of metatarsophalangeal joint of unspecified great toe, sequela"
S93126A,"dislocation of metatarsophalangeal joint of unspecified lesser toe(s), initial encounter"
S93126D,"dislocation of metatarsophalangeal joint of unspecified lesser toe(s), subsequent encounter"
S93126S,"dislocation of metatarsophalangeal joint of unspecified lesser toe(s), sequela"
S93129A,"dislocation of metatarsophalangeal joint of unspecified toe(s), initial encounter"
S93129D,"dislocation of metatarsophalangeal joint of unspecified toe(s), subsequent encounter"
S93129S,"dislocation of metatarsophalangeal joint of unspecified toe(s), sequela"
S93133A,"subluxation of interphalangeal joint of unspecified great toe, initial encounter"
S93133D,"subluxation of interphalangeal joint of unspecified great toe, subsequent encounter"
S93133S,"subluxation of interphalangeal joint of unspecified great toe, sequela"
S93136A,"subluxation of interphalangeal joint of unspecified lesser toe(s), initial encounter"
S93136D,"subluxation of interphalangeal joint of unspecified lesser toe(s), subsequent encounter"
S93136S,"subluxation of interphalangeal joint of unspecified lesser toe(s), sequela"
S93139A,"subluxation of interphalangeal joint of unspecified toe(s), initial encounter"
S93139D,"subluxation of interphalangeal joint of unspecified toe(s), subsequent encounter"
S93139S,"subluxation of interphalangeal joint of unspecified toe(s), sequela"
S93143A,"subluxation of metatarsophalangeal joint of unspecified great toe, initial encounter"
S93143D,"subluxation of metatarsophalangeal joint of unspecified great toe, subsequent encounter"
S93143S,"subluxation of metatarsophalangeal joint of unspecified great toe, sequela"
S93146A,"subluxation of metatarsophalangeal joint of unspecified lesser toe(s), initial encounter"
S93146D,"subluxation of metatarsophalangeal joint of unspecified lesser toe(s), subsequent encounter"
S93146S,"subluxation of metatarsophalangeal joint of unspecified lesser toe(s), sequela"
S93149A,"subluxation of metatarsophalangeal joint of unspecified toe(s), initial encounter"
S93149D,"subluxation of metatarsophalangeal joint of unspecified toe(s), subsequent encounter"
S93149S,"subluxation of metatarsophalangeal joint of unspecified toe(s), sequela"
S93301A,"unspecified subluxation of right foot, initial encounter"
S93301D,"unspecified subluxation of right foot, subsequent encounter"
S93301S,"unspecified subluxation of right foot, sequela"
S93302A,"unspecified subluxation of left foot, initial encounter"
S93302D,"unspecified subluxation of left foot, subsequent encounter"
S93302S,"unspecified subluxation of left foot, sequela"
S93303A,"unspecified subluxation of unspecified foot, initial encounter"
S93303D,"unspecified subluxation of unspecified foot, subsequent encounter"
S93303S,"unspecified subluxation of unspecified foot, sequela"
S93304A,"unspecified dislocation of right foot, initial encounter"
S93304D,"unspecified dislocation of right foot, subsequent encounter"
S93304S,"unspecified dislocation of right foot, sequela"
S93305A,"unspecified dislocation of left foot, initial encounter"
S93305D,"unspecified dislocation of left foot, subsequent encounter"
S93305S,"unspecified dislocation of left foot, sequela"
S93306A,"unspecified dislocation of unspecified foot, initial encounter"
S93306D,"unspecified dislocation of unspecified foot, subsequent encounter"
S93306S,"unspecified dislocation of unspecified foot, sequela"
S93313A,"subluxation of tarsal joint of unspecified foot, initial encounter"
S93313D,"subluxation of tarsal joint of unspecified foot, subsequent encounter"
S93313S,"subluxation of tarsal joint of unspecified foot, sequela"
S93316A,"dislocation of tarsal joint of unspecified foot, initial encounter"
S93316D,"dislocation of tarsal joint of unspecified foot, subsequent encounter"
S93316S,"dislocation of tarsal joint of unspecified foot, sequela"
S93323A,"subluxation of tarsometatarsal joint of unspecified foot, initial encounter"
S93323D,"subluxation of tarsometatarsal joint of unspecified foot, subsequent encounter"
S93323S,"subluxation of tarsometatarsal joint of unspecified foot, sequela"
S93326A,"dislocation of tarsometatarsal joint of unspecified foot, initial encounter"
S93326D,"dislocation of tarsometatarsal joint of unspecified foot, subsequent encounter"
S93326S,"dislocation of tarsometatarsal joint of unspecified foot, sequela"
S93333A,"other subluxation of unspecified foot, initial encounter"
S93333D,"other subluxation of unspecified foot, subsequent encounter"
S93333S,"other subluxation of unspecified foot, sequela"
S93336A,"other dislocation of unspecified foot, initial encounter"
S93336D,"other dislocation of unspecified foot, subsequent encounter"
S93336S,"other dislocation of unspecified foot, sequela"
S93401A,"sprain of unspecified ligament of right ankle, initial encounter"
S93401D,"sprain of unspecified ligament of right ankle, subsequent encounter"
S93401S,"sprain of unspecified ligament of right ankle, sequela"
S93402A,"sprain of unspecified ligament of left ankle, initial encounter"
S93402D,"sprain of unspecified ligament of left ankle, subsequent encounter"
S93402S,"sprain of unspecified ligament of left ankle, sequela"
S93409A,"sprain of unspecified ligament of unspecified ankle, initial encounter"
S93409D,"sprain of unspecified ligament of unspecified ankle, subsequent encounter"
S93409S,"sprain of unspecified ligament of unspecified ankle, sequela"
S93419A,"sprain of calcaneofibular ligament of unspecified ankle, initial encounter"
S93419D,"sprain of calcaneofibular ligament of unspecified ankle, subsequent encounter"
S93419S,"sprain of calcaneofibular ligament of unspecified ankle, sequela"
S93429A,"sprain of deltoid ligament of unspecified ankle, initial encounter"
S93429D,"sprain of deltoid ligament of unspecified ankle, subsequent encounter"
S93429S,"sprain of deltoid ligament of unspecified ankle, sequela"
S93439A,"sprain of tibiofibular ligament of unspecified ankle, initial encounter"
S93439D,"sprain of tibiofibular ligament of unspecified ankle, subsequent encounter"
S93439S,"sprain of tibiofibular ligament of unspecified ankle, sequela"
S93499A,"sprain of other ligament of unspecified ankle, initial encounter"
S93499D,"sprain of other ligament of unspecified ankle, subsequent encounter"
S93499S,"sprain of other ligament of unspecified ankle, sequela"
S93501A,"unspecified sprain of right great toe, initial encounter"
S93501D,"unspecified sprain of right great toe, subsequent encounter"
S93501S,"unspecified sprain of right great toe, sequela"
S93502A,"unspecified sprain of left great toe, initial encounter"
S93502D,"unspecified sprain of left great toe, subsequent encounter"
S93502S,"unspecified sprain of left great toe, sequela"
S93503A,"unspecified sprain of unspecified great toe, initial encounter"
S93503D,"unspecified sprain of unspecified great toe, subsequent encounter"
S93503S,"unspecified sprain of unspecified great toe, sequela"
S93504A,"unspecified sprain of right lesser toe(s), initial encounter"
S93504D,"unspecified sprain of right lesser toe(s), subsequent encounter"
S93504S,"unspecified sprain of right lesser toe(s), sequela"
S93505A,"unspecified sprain of left lesser toe(s), initial encounter"
S93505D,"unspecified sprain of left lesser toe(s), subsequent encounter"
S93505S,"unspecified sprain of left lesser toe(s), sequela"
S93506A,"unspecified sprain of unspecified lesser toe(s), initial encounter"
S93506D,"unspecified sprain of unspecified lesser toe(s), subsequent encounter"
S93506S,"unspecified sprain of unspecified lesser toe(s), sequela"
S93509A,"unspecified sprain of unspecified toe(s), initial encounter"
S93509D,"unspecified sprain of unspecified toe(s), subsequent encounter"
S93509S,"unspecified sprain of unspecified toe(s), sequela"
S93513A,"sprain of interphalangeal joint of unspecified great toe, initial encounter"
S93513D,"sprain of interphalangeal joint of unspecified great toe, subsequent encounter"
S93513S,"sprain of interphalangeal joint of unspecified great toe, sequela"
S93516A,"sprain of interphalangeal joint of unspecified lesser toe(s), initial encounter"
S93516D,"sprain of interphalangeal joint of unspecified lesser toe(s), subsequent encounter"
S93516S,"sprain of interphalangeal joint of unspecified lesser toe(s), sequela"
S93519A,"sprain of interphalangeal joint of unspecified toe(s), initial encounter"
S93519D,"sprain of interphalangeal joint of unspecified toe(s), subsequent encounter"
S93519S,"sprain of interphalangeal joint of unspecified toe(s), sequela"
S93523A,"sprain of metatarsophalangeal joint of unspecified great toe, initial encounter"
S93523D,"sprain of metatarsophalangeal joint of unspecified great toe, subsequent encounter"
S93523S,"sprain of metatarsophalangeal joint of unspecified great toe, sequela"
S93526A,"sprain of metatarsophalangeal joint of unspecified lesser toe(s), initial encounter"
S93526D,"sprain of metatarsophalangeal joint of unspecified lesser toe(s), subsequent encounter"
S93526S,"sprain of metatarsophalangeal joint of unspecified lesser toe(s), sequela"
S93529A,"sprain of metatarsophalangeal joint of unspecified toe(s), initial encounter"
S93529D,"sprain of metatarsophalangeal joint of unspecified toe(s), subsequent encounter"
S93529S,"sprain of metatarsophalangeal joint of unspecified toe(s), sequela"
S93601A,"unspecified sprain of right foot, initial encounter"
S93601D,"unspecified sprain of right foot, subsequent encounter"
S93601S,"unspecified sprain of right foot, sequela"
S93602A,"unspecified sprain of left foot, initial encounter"
S93602D,"unspecified sprain of left foot, subsequent encounter"
S93602S,"unspecified sprain of left foot, sequela"
S93609A,"unspecified sprain of unspecified foot, initial encounter"
S93609D,"unspecified sprain of unspecified foot, subsequent encounter"
S93609S,"unspecified sprain of unspecified foot, sequela"
S93619A,"sprain of tarsal ligament of unspecified foot, initial encounter"
S93619D,"sprain of tarsal ligament of unspecified foot, subsequent encounter"
S93619S,"sprain of tarsal ligament of unspecified foot, sequela"
S93629A,"sprain of tarsometatarsal ligament of unspecified foot, initial encounter"
S93629D,"sprain of tarsometatarsal ligament of unspecified foot, subsequent encounter"
S93629S,"sprain of tarsometatarsal ligament of unspecified foot, sequela"
S93699A,"other sprain of unspecified foot, initial encounter"
S93699D,"other sprain of unspecified foot, subsequent encounter"
S93699S,"other sprain of unspecified foot, sequela"
S9400XA,"injury of lateral plantar nerve, unspecified leg, initial encounter"
S9400XD,"injury of lateral plantar nerve, unspecified leg, subsequent encounter"
S9400XS,"injury of lateral plantar nerve, unspecified leg, sequela"
S9410XA,"injury of medial plantar nerve, unspecified leg, initial encounter"
S9410XD,"injury of medial plantar nerve, unspecified leg, subsequent encounter"
S9410XS,"injury of medial plantar nerve, unspecified leg, sequela"
S9420XA,"injury of deep peroneal nerve at ankle and foot level, unspecified leg, initial encounter"
